;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
jefferson_method_desc;The Jefferson Method is a highest averages method for allocating seats, and is thus a type of party-list proportional representation. Proportional representation systems aim to allocate seats to parties approximately in proportion to the number of votes received. For example, if a party wins one-third of the votes then it should gain about one-third of the seats. In general, exact proportionality is not possible because these divisions produce fractional numbers of seats. As a result, several methods have been devised which ensure that the parties' seat allocations, which are of course whole numbers, are as proportional as possible. In comparison with the Sainte-Lague method, §Ythe Jefferson Method slightly favours large parties and coalitions over scattered small parties§W.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
precious_goods;Crypto Currency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
precious_goods_RGO_SIZE;Crypto Currency Market Size;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
pensions;Boomer Policy;Pensions;Renten;;Pensiones;;;;;;;;;x;;;;
no_pensions;No Participation Trophies;Aucune pension;Keine Renten;;Sin pensiones;;;;;;;;;x;;;;
no_pensions_desc;ADD STUFF HERE;Aucune pension d'État.;Keine staatlichen Renten.;;Sin pensiones públicas.;;;;;;;;;x;;;;
trinket_pensions;Subsidized Grills;Pensions dérisoires;Sachrente;;Testimoniales;;;;;;;;;x;;;;
trinket_pensions_desc;Very low state pensions.;Très basses pensions d'État.;Äußerst geringe staatliche Renten.;;Pensiones públicas muy bajas.;;;;;;;;;x;;;;
low_pensions;Complementary Monster;Basses pensions;Niedrige Renten;;Bajas;;;;;;;;;x;;;;
low_pensions_desc;Low state pensions.;Basses pensions d'État.;Geringe staatliche Renten.;;Pensiones públicas bajas.;;;;;;;;;x;;;;
acceptable_pensions;Free Lawn Mowers;Pensions acceptables;Akzeptable Renten;;Aceptables;;;;;;;;;x;;;;
acceptable_pensions_desc;Acceptable state pensions.;Pensions d'État acceptables.;Akzeptable staatliche Renten.;;Pensiones públicas aceptables.;;;;;;;;;x;;;;
good_pensions;Assigned Trophy Wives;Bonnes pensions;Gute Renten;;Buenas;;;;;;;;;x;;;;
good_pensions_desc;High state pensions.;Bonnes pensions d'État.;Hohe staatliche Renten.;;Pensiones públicas altas.;;;;;;;;;x;;;;
alien;Alien;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
punic;Punic;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
neo_roman;Neo Roman;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_command_principle;Pre-Industrial Parkour;Hi?archie militaire;Das Kommandoprinzip;;El Principio de Mando;;;;;;;;;x;;;;
army_command_principle_desc;Pre-Industrial Parkour;Hi?archie militaire;Das Kommandoprinzip;;El Principio de Mando;;;;;;;;;x;;;;
army_professionalism;Basic Vaults;Professionnalisme;Berufsoffiziere;;Profesionalismo militar;;;;;;;;;x;;;;
army_professionalism_desc;Army Professionalism;Professionnalisme;Berufsoffiziere;;Profesionalismo militar;;;;;;;;;x;;;;
MIL_TACTICS_TECH;Parkour Skill;Tactiques militaires;Milit?taktiken;;T?ticas militares;;;;;;;;;x;;;;
MILITARY_MILITARY_TACTICS;Parkour Skill;Tactiques militaires;Militärtaktik;;Tácticas militares;;;;;;;;;x;;
army_academic_training;Weaponized Springboots;?ole navale;Akademische Ausbildung;;Formaci? acad?ica;;;;;;;;;x;;;;
